code,value
11111,1
11112,0.871
11113,0.858
11114,0.724
11115,0.689
11121,0.862
11122,0.829
11123,0.816
11124,0.682
11125,0.647
11131,0.851
11132,0.818
11133,0.805
11134,0.671
11135,0.636
11141,0.66
11142,0.627
11143,0.614
11144,0.558
11145,0.523
11151,0.619
11152,0.586
11153,0.573
11154,0.517
11155,0.482
11211,0.883
11212,0.85
11213,0.837
11214,0.703
11215,0.668
11221,0.841
11222,0.808
11223,0.795
11224,0.661
11225,0.626
11231,0.83
11232,0.797
11233,0.784
11234,0.65
11235,0.615
11241,0.639
11242,0.606
11243,0.593
11244,0.537
11245,0.502
11251,0.598
11252,0.565
11253,0.552
11254,0.496
11255,0.461
11311,0.853
11312,0.82
11313,0.807
11314,0.673
11315,0.638
11321,0.811
11322,0.778
11323,0.765
11324,0.631
11325,0.596
11331,0.8
11332,0.767
11333,0.754
11334,0.62
11335,0.585
11341,0.609
11342,0.576
11343,0.563
11344,0.507
11345,0.472
11351,0.568
11352,0.535
11353,0.522
11354,0.466
11355,0.431
11411,0.726
11412,0.693
11413,0.68
11414,0.624
11415,0.589
11421,0.684
11422,0.651
11423,0.638
11424,0.582
11425,0.547
11431,0.673
11432,0.64
11433,0.627
11434,0.571
11435,0.536
11441,0.56
11442,0.527
11443,0.514
11444,0.458
11445,0.423
11451,0.519
11452,0.486
11453,0.473
11454,0.417
11455,0.382
11511,0.651
11512,0.618
11513,0.605
11514,0.549
11515,0.514
11521,0.609
11522,0.576
11523,0.563
11524,0.507
11525,0.472
11531,0.598
11532,0.565
11533,0.552
11534,0.496
11535,0.461
11541,0.485
11542,0.452
11543,0.439
11544,0.383
11545,0.348
11551,0.444
11552,0.411
11553,0.398
11554,0.342
11555,0.307
12111,0.872
12112,0.839
12113,0.826
12114,0.692
12115,0.657
12121,0.83
12122,0.797
12123,0.784
12124,0.65
12125,0.615
12131,0.819
12132,0.786
12133,0.773
12134,0.639
12135,0.604
12141,0.628
12142,0.595
12143,0.582
12144,0.526
12145,0.491
12151,0.587
12152,0.554
12153,0.541
12154,0.485
12155,0.45
12211,0.851
12212,0.818
12213,0.805
12214,0.671
12215,0.636
12221,0.809
12222,0.776
12223,0.763
12224,0.629
12225,0.594
12231,0.798
12232,0.765
12233,0.752
12234,0.618
12235,0.583
12241,0.607
12242,0.574
12243,0.561
12244,0.505
12245,0.47
12251,0.566
12252,0.533
12253,0.52
12254,0.464
12255,0.429
12311,0.821
12312,0.788
12313,0.775
12314,0.641
12315,0.606
12321,0.779
12322,0.746
12323,0.733
12324,0.599
12325,0.564
12331,0.768
12332,0.735
12333,0.722
12334,0.588
12335,0.553
12341,0.577
12342,0.544
12343,0.531
12344,0.475
12345,0.44
12351,0.536
12352,0.503
12353,0.49
12354,0.434
12355,0.399
12411,0.694
12412,0.661
12413,0.648
12414,0.592
12415,0.557
12421,0.652
12422,0.619
12423,0.606
12424,0.55
12425,0.515
12431,0.641
12432,0.608
12433,0.595
12434,0.539
12435,0.504
12441,0.528
12442,0.495
12443,0.482
12444,0.426
12445,0.391
12451,0.487
12452,0.454
12453,0.441
12454,0.385
12455,0.35
12511,0.619
12512,0.586
12513,0.573
12514,0.517
12515,0.482
12521,0.577
12522,0.544
12523,0.531
12524,0.475
12525,0.44
12531,0.566
12532,0.533
12533,0.52
12534,0.464
12535,0.429
12541,0.453
12542,0.42
12543,0.407
12544,0.351
12545,0.316
12551,0.412
12552,0.379
12553,0.366
12554,0.31
12555,0.275
13111,0.854
13112,0.821
13113,0.808
13114,0.674
13115,0.639
13121,0.812
13122,0.779
13123,0.766
13124,0.632
13125,0.597
13131,0.801
13132,0.768
13133,0.755
13134,0.621
13135,0.586
13141,0.61
13142,0.577
13143,0.564
13144,0.508
13145,0.473
13151,0.569
13152,0.536
13153,0.523
13154,0.467
13155,0.432
13211,0.833
13212,0.8
13213,0.787
13214,0.653
13215,0.618
13221,0.791
13222,0.758
13223,0.745
13224,0.611
13225,0.576
13231,0.78
13232,0.747
13233,0.734
13234,0.6
13235,0.565
13241,0.589
13242,0.556
13243,0.543
13244,0.487
13245,0.452
13251,0.548
13252,0.515
13253,0.502
13254,0.446
13255,0.411
13311,0.803
13312,0.77
13313,0.757
13314,0.623
13315,0.588
13321,0.761
13322,0.728
13323,0.715
13324,0.581
13325,0.546
13331,0.75
13332,0.717
13333,0.704
13334,0.57
13335,0.535
13341,0.559
13342,0.526
13343,0.513
13344,0.457
13345,0.422
13351,0.518
13352,0.485
13353,0.472
13354,0.416
13355,0.381
13411,0.676
13412,0.643
13413,0.63
13414,0.574
13415,0.539
13421,0.634
13422,0.601
13423,0.588
13424,0.532
13425,0.497
13431,0.623
13432,0.59
13433,0.577
13434,0.521
13435,0.486
13441,0.51
13442,0.477
13443,0.464
13444,0.408
13445,0.373
13451,0.469
13452,0.436
13453,0.423
13454,0.367
13455,0.332
13511,0.601
13512,0.568
13513,0.555
13514,0.499
13515,0.464
13521,0.559
13522,0.526
13523,0.513
13524,0.457
13525,0.422
13531,0.548
13532,0.515
13533,0.502
13534,0.446
13535,0.411
13541,0.435
13542,0.402
13543,0.389
13544,0.333
13545,0.298
13551,0.394
13552,0.361
13553,0.348
13554,0.292
13555,0.257
14111,0.748
14112,0.715
14113,0.702
14114,0.646
14115,0.611
14121,0.706
14122,0.673
14123,0.66
14124,0.604
14125,0.569
14131,0.695
14132,0.662
14133,0.649
14134,0.593
14135,0.558
14141,0.582
14142,0.549
14143,0.536
14144,0.48
14145,0.445
14151,0.541
14152,0.508
14153,0.495
14154,0.439
14155,0.404
14211,0.727
14212,0.694
14213,0.681
14214,0.625
14215,0.59
14221,0.685
14222,0.652
14223,0.639
14224,0.583
14225,0.548
14231,0.674
14232,0.641
14233,0.628
14234,0.572
14235,0.537
14241,0.561
14242,0.528
14243,0.515
14244,0.459
14245,0.424
14251,0.52
14252,0.487
14253,0.474
14254,0.418
14255,0.383
14311,0.697
14312,0.664
14313,0.651
14314,0.595
14315,0.56
14321,0.655
14322,0.622
14323,0.609
14324,0.553
14325,0.518
14331,0.644
14332,0.611
14333,0.598
14334,0.542
14335,0.507
14341,0.531
14342,0.498
14343,0.485
14344,0.429
14345,0.394
14351,0.49
14352,0.457
14353,0.444
14354,0.388
14355,0.353
14411,0.648
14412,0.615
14413,0.602
14414,0.546
14415,0.511
14421,0.606
14422,0.573
14423,0.56
14424,0.504
14425,0.469
14431,0.595
14432,0.562
14433,0.549
14434,0.493
14435,0.458
14441,0.482
14442,0.449
14443,0.436
14444,0.38
14445,0.345
14451,0.441
14452,0.408
14453,0.395
14454,0.339
14455,0.304
